Type,Category,Series,Model Name,Description,Dimming,output power (sorting),output Power (W),Output Current,Output Current (A),Output Voltage (V),safety,water proof level,Datasheet,Terminal,BOM Cost$,MOQ 10K Pcs,"EXWorks$ 
MOQ 10k",MOQ 5k Pcs,EXWorks$ MOQ 5k,MOQ 2k Pcs,EXWorks$ MOQ 2k,MOQ 1k Pcs,EXWorks$ MOQ 1k,MOQ 500 Pcs,EXWorks$ MOQ 500,Sample Price 1-10 pcs,EXWorks Price for Order 100-299pcs,EXWorks Price for Order 300-499pcs,Sample Price 1-10 pcs,DAP Price for Order 100-299pcs,DAP Price for Order 300-499pcs,case material,dimension(mm),Status,Responsible,Product Line,Programmable Responsible,Carton Size(mm),Net Weight(kg),Gross Weight(kg),Units/ Carton,"Pallet Size
(mm)",Pallet Weight(kg),Cartons/Pallet,Total Weight/ pallet,Custom Order,,
Indoor,LED Drivers > Low Power LED Drivers,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",PLD013-1SCF503TS-325,Indoor CC driver，4-level W/ DIP switch,"Triac,ELV dimming ",13.65,13.65,"250mA/
275mA/
300mA/
325mA","0.25/
0.275/
0.3/
0.325","34-42/
34-42/
34-42/
34-42",UL class 2,IP64,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/01-Triac-ELV-Dimming-13-52W-DIP-.pdf,wire,2.94,10000, 6.11 ,5000, 6.17 ,2000, 6.30 ,1000, 6.62 ,500, 6.93 , 18.90 , 9.01 , 8.32 , 16.63 , 10.81 , 9.98 ,Plastic,95*40*25,Mass Production,zhongqiyu@fsp-powerland.com,ALP,xiaoqingli@fsp-powerland.com,,,,,,,,,1,,
Indoor,LED Drivers > Low Power LED Drivers,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",PLD020-1SCF503TS-500,Indoor CC driver，4-level W/ DIP switch,"Triac,ELV dimming ",21,21,"350mA/
400mA/
450mA/
500mA","0.350/
0.4/
0.450/
0.5","34-42/
34-42/
34-42/
34-42",UL class 2,IP64,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/01-Triac-ELV-Dimming-13-52W-DIP-.pdf,wire,3.24,10000, 6.11 ,5000, 6.17 ,2000, 6.30 ,1000, 6.62 ,500, 6.93 , 18.90 , 9.01 , 8.32 , 16.63 , 10.81 , 9.98 ,Plastic,95*40*25,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,,2,,
Indoor,LED Drivers > Low Power LED Drivers,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",PLD020-1SCF51TS-700,Indoor CC driver，4-level W/ DIP switch,"Triac,ELV dimming ",20,20,"400mA/
500mA/
600mA/
700mA","0.4/
0.5/
0.6/
0.7","22-28/
22-28/
22-28/
14-28",UL class 2,IP64,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/01-Triac-ELV-Dimming-13-52W-DIP-.pdf,wire,3.24,10000, 6.11 ,5000, 6.17 ,2000, 6.30 ,1000, 6.62 ,500, 6.93 , 18.90 , 9.01 , 8.32 , 16.63 , 10.81 , 9.98 ,Plastic,95*40*25,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,,3,,
Indoor,LED Drivers > Low Power LED Drivers,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",PLD036-1SCF521TS-900,Indoor CC driver，4-level W/ DIP switch,"Triac,ELV dimming ",36,36,"600mA/
700mA/ 
800mA/
900mA","0.6/
0.7/ 
0.8/
0.9","28-52/
28-50/
28-48/
28-40",UL class 2,IP64,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/01-Triac-ELV-Dimming-13-52W-DIP-.pdf,wire,6.18,10000, 7.76 ,5000, 7.84 ,2000, 8.00 ,1000, 8.40 ,500, 8.80 , 24.00 , 11.44 , 10.56 , 21.12 , 13.73 , 12.67 ,Plastic,115*45*24.5,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,,4,,
Indoor,LED Drivers > Low Power LED Drivers,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",PLD052-1SCF512TS-1300,Indoor CC driver，4-level W/ DIP switch,"Triac,ELV dimming ",52,52,"1000mA/
1100mA/
1200mA/
1300mA","0.10/
0.11/
0.12/
0.13","28-52/
28-48/
28-42/
28-40",UL class 2,IP64,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/01-Triac-ELV-Dimming-13-52W-DIP-.pdf,wire,4.26,10000, 9.89 ,5000, 10.00 ,2000, 10.20 ,1000, 10.71 ,500, 11.22 , 30.60 , 14.59 , 13.46 , 26.93 , 17.50 , 16.16 ,Plastic,95*70*32,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
42~50W Current DIP Settable Series",PLD042-1SCF55AS-900,Indoor Constant Current,0-10V,42,42,"600mA/
700mA/
800mA/
900mA","0.6/
0.7/
0.8/
0.9","27-55/
27-55/
27-50/
27-46",UL,IP64,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/02-0-10V-Dimming-42-50-DIP.pdf,wire,3.97,10000, 10.86 ,5000, 10.98 ,2000, 11.20 ,1000, 11.76 ,500, 12.32 , 33.60 , 16.02 , 14.78 , 29.57 , 19.22 , 17.74 ,Plastic,95*70*32,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,,7,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
42~50W Current DIP Settable Series",PLD050-1SCF55AS-2100,Indoor Constant Current,0-10V,50,50,"1050mA/
1400mA/
1750mA/
2100mA","0.1050/
0.14/
0.1750/
0.21","18-40/
18-36/
16-28
16-24",UL,IP64,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/02-0-10V-Dimming-42-50-DIP.pdf,wire,4.26,10000, 10.86 ,5000, 10.98 ,2000, 11.20 ,1000, 11.76 ,500, 12.32 , 33.60 , 16.02 , 14.78 , 29.57 , 19.22 , 17.74 ,Plastic,95*70*32,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,,8,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
42~50W Current DIP Settable Series",PLD050-1SCF55AS-1200,Indoor Constant Current,0-10V,50,50,"600mA/
800mA/
1000mA/
1200mA","0.6/
0.8/
0.10/
0.12","25-40/
25-40/
25-40/
25-40",UL,IP64,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/02-0-10V-Dimming-42-50-DIP.pdf,wire,4.26,10000, 10.86 ,5000, 10.98 ,2000, 11.20 ,1000, 11.76 ,500, 12.32 , 33.60 , 16.02 , 14.78 , 29.57 , 19.22 , 17.74 ,Plastic,95*70*32,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
