Type,Power Type,Category,Series,"FAMILY 
For Archive & one pager",Subheading,Position,Model Name,Description,Dimming,output power (Sorting),output Power(W),Output Current (Sorting),Output Current (A),Output Current,Output Voltage (Sorting),Output Voltage,safety,water proof level,Datasheet,Terminal,BOM Cost$,MOQ 10K Pcs,"EXWorks$ 
MOQ 10k",MOQ 5k Pcs,EXWorks$ MOQ 5k,MOQ 2k Pcs,EXWorks$ MOQ 2k,MOQ 1k Pcs,EXWorks$ MOQ 1k,MOQ 500 Pcs,EXWorks$ MOQ 500,Sample Price 1-10 pcs,EXWorks Price for Order 100-299pcs,EXWorks Price for Order 300-499pcs,Sample Price 1-10 pcs,DAP Price for Order 100-299pcs,DAP Price for Order 300-499pcs,case material,dimension(mm),Status,Responsible,Product Line,Programmable Responsible,Carton Size(mm),Net Weight(kg),Gross Weight(kg),Units/ Carton,"Pallet Size
(mm)",Pallet Weight(kg),Cartons/Pallet,Total Weight/ pallet
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",13 to 52 Watts Current Selectable Series,Triac/ELV Dimming<br>Indoor Applications<br>14-52Vout<br>90-305Vac<br>UL Class 2,1,PLD013-1SCF503TS-325,Indoor CC driver，4-level W/ DIP switch,"Triac,ELV dimming ",13.65,13.65,0.25,"0.25/
0.275/
0.3/
0.325","250mA/
275mA/
300mA/
325mA",34,"34-42V/
34-42V/
34-42V/
34-42V",UL class 2,IP64,https://greenwattpower.com/wp-content/uploads/2020/01/01-Triac-ELV-Dimming-13-52W-DIP.pdf,wire,2.94,10000,  6.11 ,5000,  6.17 ,2000,  6.30 ,1000,  6.62 ,500,  6.93 ,  18.90 ,  9.01 ,  8.32 ,  16.63 ,  10.81 ,  9.98 ,Plastic,95*40*25,Mass Production,zhongqiyu@fsp-powerland.com,ALP,xiaoqingli@fsp-powerland.com,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",13 to 52 Watts Current Selectable Series,Triac/ELV Dimming<br>Indoor Applications<br>14-52Vout<br>90-305Vac<br>UL Class 2,1,PLD020-1SCF503TS-500,Indoor CC driver，4-level W/ DIP switch,"Triac,ELV dimming ",21,21,0.35,"0.350/
0.4/
0.450/
0.5","350mA/
400mA/
450mA/
500mA",34,"34-42V/
34-42V/
34-42V/
34-42V",UL class 2,IP64,https://greenwattpower.com/wp-content/uploads/2020/01/01-Triac-ELV-Dimming-13-52W-DIP.pdf,wire,3.24,10000,  6.11 ,5000,  6.17 ,2000,  6.30 ,1000,  6.62 ,500,  6.93 ,  18.90 ,  9.01 ,  8.32 ,  16.63 ,  10.81 ,  9.98 ,Plastic,95*40*25,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",13 to 52 Watts Current Selectable Series,Triac/ELV Dimming<br>Indoor Applications<br>14-52Vout<br>90-305Vac<br>UL Class 2,1,PLD020-1SCF51TS-700,Indoor CC driver，4-level W/ DIP switch,"Triac,ELV dimming ",20,20,0.4,"0.4/
0.5/
0.6/
0.7","400mA/
500mA/
600mA/
700mA",22,"22-28V/
22-28V/
22-28V/
14-28V",UL class 2,IP64,https://greenwattpower.com/wp-content/uploads/2020/01/01-Triac-ELV-Dimming-13-52W-DIP.pdf,wire,3.24,10000,  6.11 ,5000,  6.17 ,2000,  6.30 ,1000,  6.62 ,500,  6.93 ,  18.90 ,  9.01 ,  8.32 ,  16.63 ,  10.81 ,  9.98 ,Plastic,95*40*25,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",13 to 52 Watts Current Selectable Series,Triac/ELV Dimming<br>Indoor Applications<br>14-52Vout<br>90-305Vac<br>UL Class 2,1,PLD036-1SCF521TS-900,Indoor CC driver，4-level W/ DIP switch,"Triac,ELV dimming ",36,36,0.6,"0.6/
0.7/ 
0.8/
0.9","600mA/
700mA/ 
800mA/
900mA",28,"28-52V/
28-50V/
28-48V/
28-40V",UL class 2,IP64,https://greenwattpower.com/wp-content/uploads/2020/01/01-Triac-ELV-Dimming-13-52W-DIP.pdf,wire,6.18,10000,  7.76 ,5000,  7.84 ,2000,  8.00 ,1000,  8.40 ,500,  8.80 ,  24.00 ,  11.44 ,  10.56 ,  21.12 ,  13.73 ,  12.67 ,Plastic,115*45*24.5,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",13 to 52 Watts Current Selectable Series,Triac/ELV Dimming<br>Indoor Applications<br>14-52Vout<br>90-305Vac<br>UL Class 2,1,PLD052-1SCF512TS-1300,Indoor CC driver，4-level W/ DIP switch,"Triac,ELV dimming ",52,52,0.1,"0.10/
0.11/
0.12/
0.13","1000mA/
1100mA/
1200mA/
1300mA",28,"28-52V/
28-48V/
28-42V/
28-40V",UL class 2,IP64,https://greenwattpower.com/wp-content/uploads/2020/01/01-Triac-ELV-Dimming-13-52W-DIP.pdf,wire,4.26,10000,  9.89 ,5000,  10.00 ,2000,  10.20 ,1000,  10.71 ,500,  11.22 ,  30.60 ,  14.59 ,  13.46 ,  26.93 ,  17.50 ,  16.16 ,Plastic,95*70*32,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
42~50W Current DIP Settable Series",42 Watts Current Selectable Series                                          ,0-10V Dimming<br>Indoor Applications<br>27-55Vout<br>90-305Vac<br>UL,1,PLD042-1SCF55AS-900,Indoor Constant Current,0-10V,42,42,0.60,"0.6/
0.7/
0.8/
0.9","600mA/
700mA/
800mA/
900mA",27,"27-55V/
27-55V/
27-50V/
27-46V",UL,IP64,https://greenwattpower.com/wp-content/uploads/2020/01/02-0-10V-Dimming-42-50-DIP.pdf,wire,3.97,10000,  10.86 ,5000,  10.98 ,2000,  11.20 ,1000,  11.76 ,500,  12.32 ,  33.60 ,  16.02 ,  14.78 ,  29.57 ,  19.22 ,  17.74 ,Plastic,95*70*32,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
42~50W Current DIP Settable Series",50 Watts Current Selectable Series                                          ,0-10V Dimming<br>Indoor Applications<br>16-40Vout<br>90-305Vac<br>UL,1,PLD050-1SCF55AS-2100,Indoor Constant Current,0-10V,50,50,0.105,"0.1050/
0.14/
0.1750/
0.21","1050mA/
1400mA/
1750mA/
2100mA",18,"18-40V/
18-36V/
16-28V
16-24V",UL,IP64,https://greenwattpower.com/wp-content/uploads/2020/01/02-0-10V-Dimming-42-50-DIP.pdf,wire,4.26,10000,  10.86 ,5000,  10.98 ,2000,  11.20 ,1000,  11.76 ,500,  12.32 ,  33.60 ,  16.02 ,  14.78 ,  29.57 ,  19.22 ,  17.74 ,Plastic,95*70*32,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
42~50W Current DIP Settable Series",50 Watts Current Selectable Series                                          ,0-10V Dimming<br>Indoor Applications<br>16-40Vout<br>90-305Vac<br>UL,1,PLD050-1SCF55AS-1200,Indoor Constant Current,0-10V,50,50,0.6,"0.6/
0.8/
0.10/
0.12","600mA/
800mA/
1000mA/
1200mA",25,"25-40V/
25-40V/
25-40V/
25-40V",UL,IP64,https://greenwattpower.com/wp-content/uploads/2020/01/02-0-10V-Dimming-42-50-DIP.pdf,wire,4.26,10000,  10.86 ,5000,  10.98 ,2000,  11.20 ,1000,  11.76 ,500,  12.32 ,  33.60 ,  16.02 ,  14.78 ,  29.57 ,  19.22 ,  17.74 ,Plastic,95*70*32,Mass Production,zhongqiyu@fsp-powerland.com,ALP,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
