ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (oz)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Meta: _parent_sku","Meta: __is_newly_created_product","Meta: Dimming","Meta: Output Power (W)","Meta: Output Current","Meta: Output Voltage","Meta: Safety","Meta: Waterproof Level","Meta: Model Name","Meta: Datasheet Download Link","Meta: Series","Meta: Output Power (Sorting)","Meta: Output Current (Sorting)","Meta: _wp_page_template","Meta: __first_variation_id","Meta: _variation_updated"
5286,variable,0ef3809ca17a,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",1,0,visible,,"Indoor CC driver，4-level W/ DIP switch",,,none,,1,,,0,0,,,,,0,,,,"LED Drivers, LED Drivers > Low Power LED Drivers",Indoor,,,,,,,,,,,0,"Model Name",PLD052-1SCF512TS-1300,1,1,Dimming,"Triac\,ELV dimming",1,1,"Output Power (W)",52,1,1,"Output Current",1000mA/1100mA/1200mA/1300mA,1,1,Safety,"UL class 2",1,1,"Waterproof Level",IP64,1,1,0ef3809ca17a,,"Triac,ELV dimming",52,"1000mA/
1100mA/
1200mA/
1300mA","28-52/
28-48/
28-42/
28-40","UL class 2",IP64,PLD052-1SCF512TS-1300,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/01-Triac-ELV-Dimming-13-52W-DIP-.pdf,"Triac/ELV Dimming Constant Current LED Drivers
13~52W Current DIP Settable Series",52,"0.10/
0.11/
0.12/
0.13",default,,
5292,variable,a1c1c1eb80ee,"0-10V Dimming Constant Current LED Drivers
42~50W Current DIP Settable Series",1,0,visible,,"Indoor Constant Current",,,none,,1,,,0,0,,,,,0,,,,"LED Drivers, LED Drivers > Low Power LED Drivers",Indoor,,,,,,,,,,,0,"Model Name",PLD050-1SCF55AS-1200,1,1,Dimming,0-10V,1,1,"Output Power (W)",50,1,1,"Output Current",600mA/800mA/1000mA/1200mA,1,1,Safety,UL,1,1,"Waterproof Level",IP64,1,1,a1c1c1eb80ee,,0-10V,50,"600mA/
800mA/
1000mA/
1200mA","25-40/
25-40/
25-40/
25-40",UL,IP64,PLD050-1SCF55AS-1200,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/02-0-10V-Dimming-42-50-DIP.pdf,"0-10V Dimming Constant Current LED Drivers
42~50W Current DIP Settable Series",50,"0.6/
0.8/
0.10/
0.12",default,,
5296,simple,4c5d12d44646,"0-10V Dimming Constant Current LED Drivers
75W Super Slim Series",1,0,visible,,"Indoor CC smart driver，Programable, connector",,,none,,1,,,0,0,,,,,0,,,0,"LED Drivers, LED Drivers > Low Power LED Drivers",Indoor,,,,,,,,,,,0,"Model Name",PLD075-1TCF3A-2000,1,1,Dimming,0-10V,1,1,"Output Power (W)",75,1,1,"Output Current",700-2000mA,1,1,Safety,"UL class 2",1,1,"Waterproof Level",IP20,1,1,64644d21d5c4,,0-10V,75,700-2000mA,27-54,"UL class 2",IP20,PLD075-1TCF3A-2000,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/03-Super-Slim.pdf,"0-10V Dimming Constant Current LED Drivers
75W Super Slim Series",75,0.7-2,default,,
5298,variable,9a0feb2b2cc8,"0-10V Dimming Constant Current LED Drivers
75~96W Series",1,0,visible,,"Indoor Constant Current",,,none,,1,,,0,0,,,,,0,,,,"LED Drivers, LED Drivers > Low Power LED Drivers",Indoor,,,,,,,,,,,0,"Model Name",PLD096-1TAF2A-40,1,1,Dimming,0-10V,1,1,"Output Power (W)",96,1,1,"Output Current",2.4A,1,1,Safety,"UL class 2",1,1,"Waterproof Level",IP64,1,1,9a0feb2b2cc8,,0-10V,96,2.4A,20-40,"UL class 2",IP64,PLD096-1TAF2A-40,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/04-10V-Dimming-75-96.pdf,"0-10V Dimming Constant Current LED Drivers
75~96W Series",96,2.4,default,,
5307,variable,bea62446b5c6,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",1,0,visible,,"Indoor CC smart driver，Programable",,,none,,1,,,0,0,,,,,0,,,,"LED Drivers, LED Drivers > Low Power LED Drivers","Indoor, Outdoor",,,,,,,,,,,0,"Model Name",PLD060-1SCF692WE-800,1,1,Dimming,"0(0.1)-10V\, PWM\, external resistor\, Clock",1,1,"Output Power (W)","up to 60",1,1,"Output Current",0.400-0.800mA,1,1,Safety,UL,1,1,"Waterproof Level",IP65,1,1,bea62446b5c6,,"0(0.1)-10V, PWM, external resistor, Clock","up to 60",0.400-0.800mA,30-70,UL,IP65,PLD060-1SCF692WE-800,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/05-All-in-one-30-60.pdf,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",60,0.4-0.8,default,,
5318,variable,838bca750b0b,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle 2020” Series",1,0,visible,,"Indoor Constant Current,flicker-free,wired programmable， optional 12V auxiliary power, complying with UL2019 second edition",,,none,,1,,,0,0,,,,,0,,,,"LED Drivers, LED Drivers > Low Power LED Drivers",Indoor,,,,,,,,,,,0,"Model Name",PLD050-1SCF793-1400,1,1,Dimming,"0(0.5)-10V\, PWM\, External Resistor",1,1,"Output Power (W)",50,1,1,"Output Current",0.7-1.4A,1,1,Safety,"UL\,UL class 2",1,1,"Waterproof Level",IP65,1,1,838bca750b0b,,"0(0.5)-10V, PWM, External Resistor",50,0.7-1.4A,27-45,"UL,UL class 2",IP65,PLD050-1SCF793-1400,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/06-Pickle-2020-42-50.pdf,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle 2020” Series",50,0.7-1.4,default,,
5321,variable,0b27fea3297e,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Blue” Wireless Series",1,0,visible,,"Indoor Constant Current,flicker-free,wireless programmable,  MESH BLT SIG5.0",,,none,,1,,,0,0,,,,,0,,,,"LED Drivers, LED Drivers > Low Power LED Drivers",Indoor,,,,,,,,,,,0,"Model Name",PLD050-1SCF892PB-XXX,1,1,Dimming,"wireless dimming",1,1,"Output Power (W)",50,1,1,"Output Current",700-1250A,1,1,Safety,"UL Class P(Q1 2020)",1,1,"Waterproof Level",IP65,1,1,0b27fea3297e,,"wireless dimming",50,700-1250A,27-45,"UL Class P(Q1 2020)",IP65,PLD050-1SCF892PB-XXX,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/07-Pickle-Blue-42-50.pdf,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Blue” Wireless Series",50,700-1250,default,,
5324,variable,49a1b0299224,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Plus” Series",1,0,visible,,"Indoor Constant Current,flicker-free,wireless programmable,  MESH BLT SIG5.0, PLUS isolated 0-10V dimming and 12V aux power complying with UL2019 second edition",,,none,,1,,,0,0,,,,,0,,,,"LED Drivers, LED Drivers > Low Power LED Drivers",Indoor,,,,,,,,,,,0,"Model Name",PLD050-1SCF992PB-XXX,1,1,Dimming,"isolated 0-10V\,PWM \,External resistor\,Wireless Dimming",1,1,"Output Power (W)",50,1,1,"Output Current",700-1400A,1,1,Safety,"UL Class P (Q1 2020)",1,1,"Waterproof Level",IP65,1,1,49a1b0299224,,"isolated 0-10V,PWM ,External resistor,Wireless Dimming",50,700-1400A,27-45,"UL Class P      (Q1 2020)",IP65,PLD050-1SCF992PB-XXX,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/08-Pickle-Plus-42-50.pdf,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Plus” Series",50,700-1400,default,,
5327,variable,cff132d655ce,"42/50W Programmable Dual-channel Constant Current LED Drivers
Flicker-Free “Pickle-Mate” Series",1,0,visible,,"Indoor Constant Current,Complimentary dual outputs,flicker-free,wireless programmable,wireless color temperature programming and adjusting,  MESH BLT SIG5.0, PLUS isolated 0-10V dimming and 12V aux power complying with UL2019 second edition",,,none,,1,,,0,0,,,,,0,,,,"LED Drivers, LED Drivers > Low Power LED Drivers",Indoor,,,,,,,,,,,0,"Model Name",PLD050-2SCF992-1400A,1,1,Dimming,"isolated 0-10V\,PWM \,External resistor\,Wireless Dimming",1,1,"Output Power (W)",50,1,1,"Output Current",0~1.4A+1.4~0A,1,1,Safety,"UL Class P(Q1 2020)",1,1,"Waterproof Level",IP65,1,1,cff132d655ce,,"isolated 0-10V,PWM ,External resistor,Wireless Dimming",50,"0~1.4A
+
1.4~0A",27~45,"UL Class P(Q1 2020)",IP65,PLD050-2SCF992-1400A,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/09-Pickle-Mate-42-50.pdf,"42/50W Programmable Dual-channel Constant Current LED Drivers
Flicker-Free “Pickle-Mate” Series",50,"0~1.4
+
1.4~0",default,,
5330,variable,3631db0321a6,"All-in-One Dimming Outdoor LED Drivers
120W Programmable Series",1,0,visible,,"outdoor Constant Current，programmable",,,none,,1,,,0,0,,,,,0,,,,"LED Drivers, LED Drivers > Mid Power LED Drivers",Outdoor,,,,,,,,,,,0,"Model Name",PLD120-SMR-170(Z/B/E),1,1,Dimming,"0-10V\,PWM\,Reset\,DMX (upon request) ultra-deep dimming",1,1,"Output Power (W)",120,1,1,"Output Current","up to 0.84A",1,1,Safety,UL,1,1,"Waterproof Level",IP67,1,1,3631db0321a6,,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",120,"up to 0.84A",72-170,UL,IP67,PLD120-SMR-170(Z/B/E),http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/10-Programmable-120.pdf,"All-in-One Dimming Outdoor LED Drivers
120W Programmable Series",120,0.84,default,,
